	1	2	3	4	5	6	7	8	9	10
0	28	31	41	38	25	44	40	40	37	45
10	43	34	42	41	42	36	44	35	42	34
20	41	33	32	26	47	35	38	38	32	36
30	39	31	30	36	35	34	36	37	30	41
40	47	46	29	30	38	50	32	32	30	35
50	42	38	40	32	41	41	39	44	35	47
60	44	33	38	33	46	40	39	43	31	40
70	31	37	47	36	39	42	37	38	46	38
80	49	41	36	43	34	27	30	34	28	35
90	46	38	41	35	40	40	43	35	38	41
100	39	49	31	33	45	41	40	39	44	39
110	50	32	46	37	35	38	33	39	44	37
120	41	34	38	31	31	32	34	33	35	33
130	32	39	28							
