	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
1480	3	1	3	2	3	1	0	1	0	2	0	2	0	2	0	2	2	3	0	1	1	1	3	1	1	1	1	2	3	0	5	0	2	1	3	0	1	2	1	3
1520	0	1	1	2	0	0	2	2	2	0	0	1	0	1	3	0	1	0	2	1	3	0	1	2	1	1	3	1	1	2	4	1	1	1	0	0	1	3	1	2
1560	0	3	2	1	1	1	2	2	3	1	2	1	1	2	0	1	5	2	0	0	2	3	0	1	2	0	0	0	0	2	1	2	2	0	3	0	0	1	3	1
1600	2	2	1	1	1	1	0	0	0	0	1	2	1	2	3	0	1	0	1	0	3	0	1	1	2	3	1	0	1	2	0	0	1	1	2	3	1	1	0	2
1640	1	1	1	1	5	4	0	1	2	0	1	1	0	2	1	2	1	1	2	3	2	0	2	3	0	1	2	0	2	2	0	1	2	4	1	1	1	1	1	1
1680	1	0	2	2	1	0	0	1	2	1	1	2	1	2	2	1	1	1	3	3	4	0	2	0	2	2	0	0	2	0	2	0	1	0	2	1	3	0	3	2
1720	0	2	2	1	1	1	2	0	3	3	1	2	0	2	3	3	1	2	0	1	2	1	0	2	2	1	0	0	1	3	2	0	0	2	1	3	1	2	0	1
1760	0	1	2	1	0	2	2	0	1	2	1	0	1	2	3	2	1	1	3	0	1	1	1	1	0	3	3	1	2	2	1	1	2	4	2	0	1	4	3	0
1800	0	2	1	3	2	2	2	3	3	3	2	0	2	2	0	1	0	1	0	1	1	3	2	3	1	1	3	0	0	0	0	0	1	2	2	0	1	0	0	2
1840	1	1	1	0	1	0	4	0	1	0	1	3	3	3	2	0	1	0	0	3	1	1	1	2	1	1	2	0	0	1	0	1	2	1	0	0	3	2	0	1
1880	1	1	4	4	0	0	3	3	1	1	0	1	0	1	3	1	2	0	1	3	2	0	1	0	0	2	2	1	2	0	2	1	2	0	0	1	3	1	1	0
1920	1	1	1	0	2	1	0	5	1	2	0	0	3	0	0	2	1	2	2	3	1	1	2	2	2	2	3	1	4	1	1	1	0	0	2	1	1	1	2	3
1960	3	1	0	2	1	2	1	3	0	0	2	3	2	1	0	2	2	1	0	2	1	2	1	1	1	0	1	2	1	1	2	1	3	0	0	2	1	1	0	2
2000	2	1	2	0	2	4	2	2	1	0	0	1	2	1	1	2	1	1	2	5	3	1	1	1	2	1	0	3	0	1	3	1	3	2	1	1	1	2	0	0
2040	1	0	1	3	1	1	0	0	1	2	2	1	0	0	2	0	2	1	1	0	1	1	1	1	1	3	2	2	0	0	3	1	1	2	0	2	2	2	1	1
2080	2	1	2	0	3	1	1	0	3	0	0	1	0	0	2	1	1	1	4	2	2	0	1	0	1	0	4	2	0	3	0	1	0	3	1	1	3	0	1	1
2120	0	1	1	1	0	1	0	1	2	0	1	2	1	1	1	2	2	2	1	1	1	0	3	3	1	3	0	1	1	0	1	0	1	0	1	2	1	1	1	2
2160	3	3	1	0	0	1	0	2	1	2	1	2	2	3	5	1	1	0	0	1	1	1	1	2	1	1	6	1	2	2	1	0	2	1	1	1	1	1	1	0
2200	1	1	2	4	0	0	0	1	0	2	3	0	2	1	2	1	2	2	0	3	0	1	1	1	1	0	1	0	1	2	0	5	1	2	2	1	0	2	1	3
2240	4	0	1	1	2	2	0	1	2	1	0	4	0	3	0	1	1	0	0	4	1	0	2	0	2	2	0	4	1	2	0	1	2	2	4	0	1	3	1	1
2280	1	0	2	1	3	3	1	0	3	3	2	0	0	0	2	1	1	1	1	0	1	2	2	2	0	2	0	1	1	1	1	1	0	1	1	0	4	1	0	3
2320	2	1	3	1	0	1	1	2	0	5	0	0	1	1	2	3	0	0	2	1	0	2	1	3	3	0	1	1	2	1	0	4	0	0	2	1	2	1	0	3
2360	3	3	0	1	2	1	0	3	4	2	1	1	2	3	1	2	2	2	0	2	1	0	1	2	0	2	1	0	0	3	2	1	0	2	1	1	0	2	1	2
2400	3	2	4	2	2	2	5	0	3	4	0	2	1	1	1	1	0	0	3	1	2	1	0	2	2	0	1	2	1	1	0	1	2	0	0	0	2	2	1	2
2440	3	2	2	0	2	4	2	1	1	0	5	2	0	1	1	1	1	0	1	2	2	2	1	1	0	1	0	0	0	2	2	4	0	1	2	0	0	2	1	0
2480	1	2	2	4	3	0	0	2	0	1	0	1	2	0	0	1	1	2	0	0	1	2	4	2	1	1	1	1	1	4	4	1	0	2	1	1	5	0	1	3
2520	0	0	0	1	1	2	1	0	1	1	0	2	3	1	1	2	2	1	2	1	1	2	3	0	1	1	2	0	1	1	1	0	3	0	3	1	0	1	0	1
2560	0	0	1	0	0	3	2	1	0	2	2	0	1	0	1	1	0	1	1	1	1	0	2	1	2	1	2	0	2	1	3	1	0	1	2	1	0	0	1	0
2600	0	1	1	1	1	0	1	0	2	2	0	2	2	3	3	0	0	0	1	1	0	0	0	1	1	1	2	1	2	0	0	1	2	2	0	2	0	2	2	3
2640	0	0	2	0	0	0	0	2	3	2	0	1	0	0	1	1	0	1	0	0	2	3	0	3	2	2	0	1	2	0	2	0	1	0	2	0	0	3	0	1
2680	0	1	1	0	4	2	1	1	1	2	1	0	2	1	2	3	3	0	0	1	0	2	1	1	4	2	1	1	1	3	2	1	0	0	1	0	3	3	1	3
2720	1	1	3	4	0	1	0	0	5	1	0	0	1	1	1	0	1	2	4	3	2	1	3	1	2	2	1	1	1	1	1	1	1	0	2	0	1	1	2	1
2760	0	2	2	1	1	1	0	2	0	3	2	2	1	1	4	0	1	2	2	1	3	2	0	2	2	2	0	1	0	1	0	0	1	2	0	2	0	0	2	0
2800	2	3	0	2	0	2	1	3	1	2	1	1	2	1	2	2	1	0	2	0	2	1	1	0	1	5	1	2	1	2	4	0	3	3	0	1	0	2	1	0
2840	1	2	1	1	1	0	1	0	0	3	0	1	3	2	0	0	1	2	1	2	1	1	3	2	2	3	1	1	2	2	1	2	0	1	0	2	0	2	1	1
2880	1	3	0	1	1	2	0	2	1	2	1	1	1	2	2	1	0	1	2	0	2	1	3	0	1	2	3	2	2	3	1	0	2	0	0	2	3	3	0	3
2920	3	1	1	1	0	2	0	0	1	2	0	2	3	0	1	2	0	0	0	2	0	0	3	3	0	2	0	3	2	1	1	2	0	0	1	0	2	3	1	1
2960	0	0	0	1	1	2	1	4	1	3	3	1	2	1	4	1	0	0	0	0	0	0	0	2	1	1	1	1	2	3	2	1	0	1	0	1	5	3	5	0
3000	2	1	2	3	1	0	0	2	2	0	1	2	2	2	0	0	2	1	3	0	1	1	0	0	2	0	0	3	4	2	3	1	2	3	1	4	0	2	1	0
3040	0	1	4	4	4	0	1	1	1	3	3	1	2	1	1	1	2	0	1	1	1	0	1	0	0	2	3	2	2	1	0	1	0	2	1	2	0	1	2	2
3080	1	0	0	1	0	1	2	1	1	1	0	1	3	2	0	1	1	0	2	1	3	2	0	2	0	3	2	0	0	1	0	1	0	1	1	2	0	0	1	3
3120	2	2	1	1	2	2	1	3	2	1	0	1	0	1	1	1	1	7	3	0	2	0	0	1	3	1	1	2	2	1	3	1	0	2	1	1	1	0	2	2
3160	4	2	1	0	1	2	2	1	1	0	2	0	2	0	2	4	1	1	0	2	0	2	0	0	2	3	2	2	2	2	2	0	1	2	0	0	2	3	0	1
3200	0	1	0	3	0	4	3	0	1	2	0	1	1	1	1	0	3	2	1	1	3	2	0	1	1	0	2	0	1	4	1	1	1	2	1	1	2	2	2	1
3240	1	3	1	0	0	1	2	1	1	1	2	3	3	2	1	3	1	4	2	2	1	2	0	1	1	3	2	0	0	0	1	0	2	4	1	1	2	3	1	3
3280	5	3	0	0	1	2	1	1	0	2	2	0	1	1	0	2	0	0	0	0	3	1	2	3	4	2	2	0	1	1	0	2	2	3	1	1	2	1	4	3
3320	1	0	0	1	1	3	1	1	2	2	0	0	0	0	0	2	1	3	1	3	4	0	0	1	1	2	3	1	2	0	0	1	2	0	2	1	2	0	0	0
3360	1	2	0	0	2	1	2	1	2	2	1	2	0	3	1	3	1	0	1	4	1	1	2	0	1	2	2	3	3	2	3	1	1	1	0	2	1	0	2	1
3400	3	0	1	1	2	1	2	1	0	1	2	2	0	1	2	2	0	1	2	1	1	1	2	1	1	2	0	0	2	2	1	1	1	2	1	1	2	3	1	0
