Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  353 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 914379,  917483,  3104 
1 , 2820490,  2823609,  3119 , 3812237 
2 , 4565490,  4568620,  3130 , 3490011 
3 , 6206847,  6209991,  3144 , 3282728 
4 , 7780479,  7783634,  3155 , 3147275 
5 , 9298894,  9302062,  3168 , 3036843 
6 , 10775903,  10779086,  3183 , 2954033 
7 , 12215680,  12218874,  3194 , 2879565 
8 , 13624824,  13628032,  3208 , 2818302 
9 , 15007230,  15010452,  3222 , 2764826 
10 , 16365812,  16369044,  3232 , 2717174 
11 , 17702991,  17706237,  3246 , 2674372 
12 , 19021162,  19024420,  3258 , 2636354 
13 , 20321530,  20324801,  3271 , 2600749 
14 , 21605771,  21609055,  3284 , 2568495 
15 , 22875067,  22878364,  3297 , 2538605 
16 , 24130535,  24133844,  3309 , 2510948 
17 , 25373133,  25376457,  3324 , 2485211 
18 , 26603883,  26607218,  3335 , 2461511 
19 , 27823360,  27826708,  3348 , 2438967 
20 , 29031934,  29035297,  3363 , 2417163 
21 , 30230851,  30234226,  3375 , 2397846 
22 , 31420054,  31423440,  3386 , 2378417 
23 , 32600372,  32603773,  3401 , 2360651 
24 , 33772360,  33775772,  3412 , 2343987 
25 , 34936052,  34939476,  3424 , 2327396 
26 , 36092182,  36095619,  3437 , 2312273 
27 , 37240932,  37244382,  3450 , 2297513 
28 , 38382575,  38386040,  3465 , 2283301 
29 , 39517656,  39521135,  3479 , 2270176 
30 , 40646204,  40649693,  3489 , 2257106 
31 , 41768770,  41772274,  3504 , 2245147 
32 , 42885007,  42888521,  3514 , 2232484 
33 , 43995770,  43999298,  3528 , 2221540 
34 , 45100916,  45104455,  3539 , 2210303 
35 , 46200818,  46204372,  3554 , 2199819 
36 , 47295664,  47299228,  3564 , 2189702 
37 , 48385477,  48389056,  3579 , 2179641 
38 , 49470442,  49474032,  3590 , 2169941 
39 , 50550975,  50554578,  3603 , 2161079 
40 , 51626968,  51630583,  3615 , 2151998 
41 , 52698927,  52702555,  3628 , 2143931 
42 , 53766262,  53769902,  3640 , 2134682 
43 , 54829824,  54833479,  3655 , 2127139 
44 , 55889347,  55893013,  3666 , 2119057 
45 , 56945141,  56948819,  3678 , 2111600 
46 , 57997117,  58000809,  3692 , 2103966 
47 , 59045462,  59049166,  3704 , 2096702 
48 , 60090281,  60093996,  3715 , 2089649 
49 , 61131734,  61135464,  3730 , 2082921 
50 , 62169744,  62173486,  3742 , 2076032 
51 , 63204565,  63208318,  3753 , 2069653 
52 , 64236096,  64239863,  3767 , 2063076 
53 , 65264748,  65268527,  3779 , 2057316 
54 , 66290172,  66293962,  3790 , 2050859 
55 , 67312864,  67316669,  3805 , 2045399 
56 , 68332541,  68336358,  3817 , 2039366 
57 , 69349484,  69353313,  3829 , 2033898 
58 , 70363521,  70367363,  3842 , 2028087 
59 , 71374981,  71378836,  3855 , 2022933 
60 , 72383607,  72387474,  3867 , 2017264 
61 , 73389879,  73393758,  3879 , 2012556 
