Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  391 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 644259,  647378,  3119 
129 , 26992892,  26997356,  4464 , 1870219 
130 , 27926970,  27931445,  4475 , 1868167 
131 , 28860093,  28864579,  4486 , 1866257 
132 , 29792187,  29796683,  4496 , 1864198 
133 , 30723380,  30727887,  4507 , 1862397 
134 , 31653551,  31658071,  4520 , 1860355 
135 , 32582798,  32587330,  4532 , 1858506 
136 , 33511093,  33515635,  4542 , 1856600 
137 , 34438486,  34443039,  4553 , 1854797 
138 , 35364923,  35369484,  4561 , 1852882 
139 , 36290521,  36295094,  4573 , 1851208 
140 , 37215223,  37219807,  4584 , 1849415 
141 , 38139031,  38143627,  4596 , 1847628 
142 , 39061986,  39066591,  4605 , 1845919 
143 , 39984121,  39988737,  4616 , 1844281 
144 , 40905378,  40910006,  4628 , 1842526 
145 , 41825826,  41830467,  4641 , 1840909 
146 , 42745422,  42750072,  4650 , 1839201 
147 , 43664168,  43668831,  4663 , 1837505 
148 , 44582145,  44586816,  4671 , 1835962 
149 , 45499213,  45503897,  4684 , 1834149 
150 , 46415560,  46420255,  4695 , 1832705 
151 , 47331111,  47335819,  4708 , 1831115 
152 , 419345,  424582,  5237 , 8496111589 
153 , 1304865,  1310113,  5248 , 1771051 
154 , 2189947,  2195206,  5259 , 1770175 
155 , 3074462,  3079731,  5269 , 1769040 
156 , 3958640,  3963920,  5280 , 1768367 
157 , 4842183,  4847476,  5293 , 1767099 
158 , 5725400,  5730704,  5304 , 1766445 
159 , 6607994,  6613309,  5315 , 1765199 
160 , 7490265,  7495594,  5329 , 1764556 
161 , 8371911,  8377250,  5339 , 1763302 
162 , 9253243,  9258593,  5350 , 1762675 
163 , 10134005,  10139367,  5362 , 1761536 
164 , 11014376,  11019749,  5373 , 1760753 
165 , 11894281,  11899667,  5386 , 1759823 
166 , 12773714,  12779111,  5397 , 1758877 
167 , 13652734,  13658142,  5408 , 1758051 
168 , 14531302,  14536723,  5421 , 1757149 
169 , 15409449,  15414877,  5428 , 1756301 
170 , 16287156,  16292598,  5442 , 1755428 
171 , 17164415,  17169868,  5453 , 1754529 
172 , 18041250,  18046715,  5465 , 1753682 
173 , 475037,  480560,  5523 , 8554802224 
174 , 1349341,  1354876,  5535 , 1748620 
175 , 2223253,  2228800,  5547 , 1747836 
176 , 3096699,  3102255,  5556 , 1746901 
177 , 3969798,  3975366,  5568 , 1746210 
178 , 4842497,  4848077,  5580 , 1745410 
179 , 5714827,  5720419,  5592 , 1744672 
180 , 6586729,  6592330,  5601 , 1743813 
181 , 7458317,  7463931,  5614 , 1743189 
182 , 8329480,  8335105,  5625 , 1742337 
183 , 9200317,  9205955,  5638 , 1741687 
184 , 10070743,  10076391,  5648 , 1740862 
185 , 10940811,  10946472,  5661 , 1740149 
186 , 11810584,  11816254,  5670 , 1739555 
187 , 12679903,  12685586,  5683 , 1738651 
188 , 13548960,  13554653,  5693 , 1738124 
189 , 14417575,  14423281,  5706 , 1737243 
190 , 15285897,  15291613,  5716 , 1736654 
191 , 16153798,  16159527,  5729 , 1735815 
192 , 17021450,  17027189,  5739 , 1735314 
193 , 17888653,  17894407,  5754 , 1734421 
194 , 18755583,  18761347,  5764 , 1733870 
195 , 19622092,  19627866,  5774 , 1733028 
196 , 20488364,  20494150,  5786 , 1732556 
197 , 21354183,  21359981,  5798 , 1731650 
198 , 22219802,  22225609,  5807 , 1731247 
199 , 23085003,  23090826,  5823 , 1730418 
200 , 23949913,  23955745,  5832 , 1729829 
201 , 24814476,  24820321,  5845 , 1729139 
202 , 25678792,  25684647,  5855 , 1728642 
203 , 26542660,  26548529,  5869 , 1727750 
204 , 337355,  346008,  8653 , 8537526766 
205 , 1161775,  1170442,  8667 , 1648854 
206 , 1986060,  1994739,  8679 , 1648582 
207 , 2810324,  2819018,  8694 , 1648543 
