 0 , 831850,  835031,  3181 
133 , 9886086,  9892742,  6656 , 1733158 
134 , 10752443,  10759117,  6674 , 1732732 
135 , 11618379,  11625070,  6691 , 1731889 
136 , 12484109,  12490816,  6707 , 1731476 
137 , 13349431,  13356157,  6726 , 1730663 
138 , 14214527,  14221268,  6741 , 1730207 
139 , 15079231,  15085990,  6759 , 1729426 
140 , 15943727,  15950502,  6775 , 1729008 
141 , 16807843,  16814636,  6793 , 1728250 
142 , 17671761,  17678569,  6808 , 1727851 
143 , 300612,  307737,  7125 , 8555192611 
144 , 1159138,  1166280,  7142 , 1717069 
145 , 2017529,  2024689,  7160 , 1716800 
146 , 2875574,  2882750,  7176 , 1716106 
147 , 3733503,  3740696,  7193 , 1715875 
148 , 4591084,  4598294,  7210 , 1715179 
149 , 5448543,  5455770,  7227 , 1714935 
150 , 6305659,  6312902,  7243 , 1714248 
151 , 7162649,  7169910,  7261 , 1713998 
152 , 8019300,  8026577,  7277 , 1713318 
153 , 8875818,  8883114,  7296 , 1713055 
154 , 9732021,  9739334,  7313 , 1712423 
155 , 10588096,  10595424,  7328 , 1712165 
156 , 11443861,  11451207,  7346 , 1711548 
157 , 12299493,  12306855,  7362 , 1711280 
158 , 13154806,  13162184,  7378 , 1710642 
159 , 14010023,  14017418,  7395 , 1710451 
160 , 14864927,  14872339,  7412 , 1709825 
161 , 15719687,  15727116,  7429 , 1709537 
162 , 16574167,  16581614,  7447 , 1708978 
163 , 17428551,  17436014,  7463 , 1708784 
164 , 290153,  298174,  8021 , 8555658354 
165 , 1138199,  1146237,  8038 , 1696109 
166 , 1986107,  1994165,  8058 , 1695836 
167 , 2833830,  2841905,  8075 , 1695463 
168 , 3681379,  3689472,  8093 , 1695116 
169 , 4528840,  4536949,  8109 , 1694938 
170 , 5376057,  5384184,  8127 , 1694452 
171 , 6223203,  6231349,  8146 , 1694311 
172 , 7070093,  7078257,  8164 , 1693798 
173 , 7916909,  7925090,  8181 , 1693649 
174 , 8763473,  8771672,  8199 , 1693146 
175 , 9609959,  9618176,  8217 , 1692990 
176 , 10456224,  10464458,  8234 , 1692547 
177 , 11302388,  11310641,  8253 , 1692347 
178 , 12148337,  12156608,  8271 , 1691916 
179 , 12994187,  13002474,  8287 , 1691716 
180 , 13839842,  13848150,  8308 , 1691331 
181 , 14685407,  14693729,  8322 , 1691144 
182 , 15530740,  15539083,  8343 , 1690687 
183 , 16375985,  16384345,  8360 , 1690507 
184 , 17221013,  17229392,  8379 , 1690075 
185 , 270667,  281108,  10441 , 8556035962 
186 , 1103619,  1114078,  10459 , 1665922 
187 , 1936540,  1947018,  10478 , 1665861 
188 , 2769357,  2779854,  10497 , 1665653 
189 , 3602127,  3612646,  10519 , 1665562 
190 , 4434799,  4445334,  10535 , 1665360 
191 , 5267413,  5277968,  10555 , 1665248 
192 , 6099935,  6110508,  10573 , 1665062 
