Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  332 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 710684,  713965,  3281 
1 , 2659150,  2662447,  3297 , 3896948 
2 , 4426860,  4430177,  3317 , 3535440 
3 , 6091609,  6094945,  3336 , 3329517 
4 , 7683426,  7686779,  3353 , 3183651 
5 , 9219716,  9223086,  3370 , 3072597 
6 , 10711080,  10714470,  3390 , 2982748 
7 , 12165227,  12168635,  3408 , 2908312 
8 , 13587425,  13590850,  3425 , 2844413 
9 , 14982217,  14985661,  3444 , 2789603 
10 , 16352609,  16356069,  3460 , 2740800 
11 , 17701277,  17704756,  3479 , 2697355 
12 , 19029869,  19033366,  3497 , 2657202 
13 , 20341045,  20344560,  3515 , 2622370 
14 , 21635387,  21638920,  3533 , 2588702 
15 , 22915026,  22918578,  3552 , 2559297 
16 , 24180355,  24183925,  3570 , 2530676 
17 , 25433045,  25436632,  3587 , 2505397 
18 , 26673399,  26677004,  3605 , 2480726 
19 , 27902691,  27906313,  3622 , 2458601 
20 , 29121184,  29124823,  3639 , 2437003 
21 , 30329930,  30333588,  3658 , 2417511 
22 , 31528995,  31532672,  3677 , 2398149 
23 , 32719451,  32723144,  3693 , 2380928 
24 , 33901078,  33904788,  3710 , 2363271 
25 , 35075131,  35078860,  3729 , 2348125 
26 , 36241095,  36244843,  3748 , 2331947 
27 , 37400154,  37403919,  3765 , 2318135 
28 , 38551912,  38555695,  3783 , 2303534 
29 , 39697233,  39701035,  3802 , 2290661 
30 , 40835836,  40839654,  3818 , 2277222 
31 , 41968605,  41972441,  3836 , 2265556 
32 , 43095250,  43099105,  3855 , 2253309 
33 , 44216484,  44220357,  3873 , 2242486 
34 , 45332036,  45335926,  3890 , 2231121 
35 , 46442682,  46446590,  3908 , 2221310 
36 , 47547962,  47551887,  3925 , 2210577 
37 , 48648670,  48652613,  3943 , 2201434 
38 , 49744464,  49748424,  3960 , 2191605 
39 , 50835977,  50839955,  3978 , 2183044 
40 , 51922955,  51926951,  3996 , 2173974 
41 , 53005918,  53009932,  4014 , 2165944 
42 , 54084606,  54088637,  4031 , 2157393 
43 , 55159555,  55163603,  4048 , 2149915 
44 , 56230441,  56234507,  4066 , 2141790 
45 , 57297799,  57301883,  4084 , 2134734 
46 , 58361391,  58365491,  4100 , 2127200 
47 , 59421674,  59425793,  4119 , 2120585 
48 , 60478379,  60482516,  4137 , 2113428 
49 , 61531968,  61536122,  4154 , 2107195 
